Day,VALUE
1.00,-0.53955
1.10,-0.24658
1.20,0.88152
1.30,0.75168
1.40,0.01871
1.50,0.19153
1.60,-0.24642
1.70,-0.33911
1.80,0.20957
1.90,1.20755
2.00,0.22219
2.10,-0.26899
2.20,0.08002
2.30,0.20434
2.40,-0.25639
2.50,0.95411
2.60,0.20472
2.70,0.25117
2.80,-0.36522
2.90,0.14002
3.00,0.07321
3.10,0.11997
3.20,0.61523
3.30,0.02614
3.40,0.35139
3.50,0.4963
3.60,-0.84516
3.70,0.04284
3.80,0.00073
3.90,-0.73516
4.00,-0.03436
4.10,-0.22233
4.20,1.13465
4.30,0.22177
4.40,0.20827
4.50,-0.5333
4.60,0.18646
4.70,0.25491
4.80,0.63565
4.90,0.24045
5.00,0.22842
5.10,0.10287
5.20,-0.04996
5.30,0.16494
5.40,0.23382
5.50,-1.35979
5.60,0.3488
5.70,0.92016
5.80,0.08217
5.90,-0.27987
6.00,0.88852
6.10,0.40025
6.20,-0.13147
6.30,-0.39706
6.40,0.1812
6.50,0.22698
6.60,-0.10474
6.70,0.11689
6.80,0.86894
6.90,0.11224
7.00,-0.32303
7.10,0.21582
7.20,-0.1417
7.30,-0.3674
7.40,-0.53162
7.50,0.70153
7.60,-0.14788
7.70,-0.45131
7.80,0.12283
7.90,-0.60846
8.00,0.22203
8.10,-0.05167
8.20,0.19404
8.30,0.63399
8.40,0.48531
8.50,-0.08939
8.60,-0.29707
8.70,0.28955
8.80,-0.52779
8.90,0.35419
9.00,0.85015
9.10,-1.12698
9.20,-0.12079
9.30,-0.10969
9.40,0.57721
9.50,0.65929
9.60,0.53538
9.70,0.16944
9.80,-0.09666
9.90,0.0698
10.00,0.1395
10.10,-0.11793
10.20,-0.70772
10.30,-0.32613
10.40,0.75975
10.50,0.76441
10.60,0.10376
10.70,-0.08718
10.80,-0.14044
10.90,-0.08576
11.00,-0.35636
11.10,-0.12541
11.20,-3.47254
11.30,0.5561
11.40,-0.25945
11.50,-1.14028
11.60,-0.94076
11.70,1.54936
11.80,-0.24652
11.90,0.71266
12.00,0.06848
12.10,0.26731
12.20,-2.03683
12.30,0.66911
12.40,0.36838
12.50,-0.38283
12.60,1.08944
12.70,0.63335
12.80,1.70808
12.90,-0.03484
13.00,0.10944
13.10,0.09679
13.20,-0.61843
13.30,-0.79658
13.40,0.37397
13.50,-0.1174
13.60,0.2597
13.70,0.92801
13.80,0.11128
13.90,0.30499
14.00,0.26166
14.10,-0.65728
14.20,0.62063
14.30,0.34881
14.40,1.07513
14.50,0.20498
14.60,0.06932
14.70,-0.1202
14.80,0.92607
14.90,-0.2304
15.00,-0.03511
15.10,1.01391
15.20,-0.07824
15.30,-0.01205
15.40,-0.7831
15.50,0.26512
15.60,0.64724
15.70,0.43251
15.80,0.21499
15.90,0.25637
16.00,-0.1166
16.10,0.32234
16.20,-1.39563
16.30,0.96415
16.40,-0.1793
16.50,-0.13039
16.60,0.86265
16.70,-0.0918
16.80,0.66105
16.90,0.15433
17.00,-0.06426
17.10,-0.12073
17.20,-0.97026
17.30,0.54527
17.40,0.79836
17.50,0.02549
17.60,0.3737
17.70,0.18485
17.80,-0.5347
17.90,-0.88638
18.00,-1.75698
18.10,1.13703
18.20,0.09617
18.30,-1.06817
18.40,1.51842
18.50,0.48164
18.60,0.65267
18.70,-0.12134
18.80,0.17308
18.90,-1.36011
19.00,0.61804
19.10,-1.28959
19.20,-0.32079
19.30,-0.32382
19.40,0.90094
19.50,-0.04182
19.60,-0.15674
19.70,1.06961
19.80,0.35803
19.90,0.33041
20.00,0.09213
